"CHEMBL4287521","CN1C(=O)/C(=C/c2ccc(N3CCOCC3)o2)C(=O)NC1=S",4.301029996,"train"
"1b","O=C(/C(CCC/1)=C/C2=CC(F)=C(O)C=C2)C1=C\C3=CC=C(O)C(F)=C3",4.410050399,"train"
"1c","O=C(/C(CCC/1)=C/C2=CC(Cl)=C(O)C=C2)C1=C\C3=CC=C(O)C(Cl)=C3",4.341988603,"train"
"1i","O=C(/C(CCC/1)=C/C2=CC(Br)=C(O)C(Br)=C2)C1=C\C3=CC(Br)=C(O)C(Br)=C3",5.638272164,"train"
"1n","O=C(/C(CSC/1)=C/C2=CC(Br)=C(O)C=C2)C1=C\C3=CC=C(O)C(Br)=C3",4.455931956,"train"
"GO-Y030","O=C(/C=C/C1=CC(OCOC)=CC(OCOC)=C1)/C=C/C2=CC(OCOC)=CC(OCOC)=C2",5.958607315,"train"
"A2","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Br)=C2",4.608359297,"train"
"A3","O=C(C1=CC=CC(N)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",4.330869153,"train"
"A4","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Cl)=C2",5.17327748,"train"
"A6","O=C(C1=CC=CC(C(N)=O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",6.060480747,"train"
"A7","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(Cl)=C2",5.233587153,"train"
"A9","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",4.961379838,"train"
"A10","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Cl)=C2",4.301029996,"train"
"A11","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Br)=C2",4.301029996,"train"
"A12","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(I)=C2",4.301029996,"train"
"A15","O=C(C1=CC(OC)=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(C(N)=O)=CC=C3)C(I)=C2",5.739928612,"train"
"A16","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Cl)=C2",4.301029996,"train"
"A17","O=C(C1=CC=CC(O)=C1)/C=C/C2=CC(OC)=C(OCC3=CC(Cl)=CC=C3)C(Br)=C2",4.392437757,"train"
