"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL3813788","COc1ccc(CNc2nc(N)nc3ccccc23)cc1","5.958607315"
"CHEMBL3582127","C[C@]1(O)c2ccc3C(=O)CCc3c2C(=O)c4occ(CCCO)c14","4.552841969"
"CHEMBL3582129","C[C@@]1(O)c2ccc3C(=O)CCc3c2C(=O)c4occ([C@@H](O)CCO)c14","4.14327111"
"CHEMBL2381401","COc1ccc2C=C(C(=O)CN3CCN(Cc4ccccc4)CC3)C(=O)Oc2c1","4.443697499"
"CHEMBL2408091","COc1ccc(C(=O)\C=C\c2ccc(OCCCOc3ccccc3)c(OC)c2)c(O)c1","4.962573502"
"CHEMBL197140","CC1(C)CC(CC(C)(C)C1)Oc2ccc(cc2)c3ccc(cc3F)C4(CC4)C(=O)O","4.958607315"
"CHEMBL2146607","O[C@@H]1C[C@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@H]1OC(=O)\C=C\c3ccc(O)c(O)c3)(OC(=O)\C=C\c4ccc(O)c(O)c4)C(=O)O","5.657577319"
"CHEMBL3286983","COc1cc(\C=C\2/Sc3nc(cn3C2=O)c4ccc(Cl)cc4)cc(Cl)c1O","7.494850022"
"CHEMBL3330738","N#CC(=Cc1ccc(s1)c2ccc(s2)c3ccc(cc3)N(c4ccccc4)c5ccccc5)C#N","5"
"CHEMBL3286990","COc1cc(\C=C\2/Sc3nc(cn3C2=O)c4cccc(OC(F)(F)F)c4)cc(F)c1O","5"
"CHEMBL3087680","C[C@H](C(=O)NCCCNCCCNC1=CC(=O)C(=CC1=O)NCCCNCCCNC(=O)[C@@H](C)c2ccc(c(F)c2)c3ccccc3)c4ccc(c(F)c4)c5ccccc5","5.353596274"
"CHEMBL490798","CN(C)c1ccc(\C=C\c2oc3cc(Cl)ccc3c2)cc1","5.493494968"
"CHEMBL490799","CN(C)c1ccc(\C=C\c2oc3cc(Br)ccc3c2)cc1","5.872895202"
"CHEMBL490806","COc1ccc2cc(oc2c1)\C=C\c3ccc(N)cc3","5.2644011"
"CHEMBL489978","CN(C)c1ccc(\C=C\c2oc3ccc(F)cc3c2)cc1","5.70333481"
"CHEMBL249448","O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1OC(=O)\C=C\c3ccc(O)c(O)c3)C(=O)O","5.327902142"
"CHEMBL443097","CN(C)c1ccc(\C=C\c2oc3cc(O)ccc3c2)cc1","5.441291429"
"CHEMBL489979","CN(C)c1ccc(\C=C\c2oc3ccc(Br)cc3c2)cc1","6.327902142"
"CHEMBL524114","CN(C)c1ccc(\C=C\c2oc3ccc(I)cc3c2)cc1","6.769551079"
"CHEMBL523824","CNc1ccc(\C=C\c2oc3ccc(OC)cc3c2)cc1","7.096910013"
"CHEMBL392878","COc1ccc(\C=C\c2cccc(\C=C\c3ccc(OC)c(N)c3)n2)cc1N","6.22184875"
"CHEMBL245479","CN(C)c1ccc(\C=C\c2cc(I)cc(\C=C\c3ccc(cc3)N(C)C)c2)cc1","4.698970004"
"CHEMBL492217","COc1ccc2oc(\C=C\c3ccc(cc3)N(C)C)cc2c1","6.091514981"
"CHEMBL424684","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccc(cc3)C(F)(F)F)c2)C1=O)C(=O)N","7.522878745"
"CHEMBL410532","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O)C(=O)N","7.26760624"
"CHEMBL4112651","CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(cc3[C@]24N=C(C)C(=N4)N)C#CC5CCC5","8.698970004"
"CHEMBL196279","CC(C(=O)O)c1ccc(c(F)c1)c2ccc(Cl)c(Cl)c2","4.124938737"
"CHEMBL194692","CC(C)(C(=O)O)c1ccc(c(F)c1)c2ccc(cc2)C(F)(F)F","4.151195299"
"CHEMBL1744459","[3H]N(c1ccc(cn1)c2nc3ccc(OC)cc3s2)C([3H])([3H])[3H]","7.236572006"
"CHEMBL193900","CC(C(=O)N)c1ccc(c(F)c1)c2cc(Cl)cc(Cl)c2","4.920818754"
"CHEMBL197202","CC(C(=O)O)c1ccc(c(F)c1)c2ccc(cc2)c3ccc(O)cc3","4.455931956"
"CHEMBL193971","CC(C(=O)O)c1ccc(c(F)c1)c2ccc(cc2)C(F)(F)F","3.88941029"
"CHEMBL194274","CC(C(=O)O)c1ccc(c(F)c1)c2csc3ccccc23","4.080921908"
"CHEMBL245477","CN(C)c1ccc(\C=C\c2cccc(\C=C\c3ccc(cc3)N(C)C)c2)cc1","4.698970004"
"CHEMBL247930","COc1cc(\C=C\c2cccc(\C=C\c3ccc(N)c(OC)c3)c2)ccc1N","6.22184875"
"CHEMBL206766","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O)C(=O)NO","5.167491087"
"CHEMBL382880","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3Cl)c2)C1=O)C(=O)N","7.537602002"
"CHEMBL231250","Clc1ccc(cc1)S(=O)(=O)N2C(COC(=O)N3CCC(CC3)N4CCCCC4)CCc5ccccc25","7.13667714"
"CHEMBL230931","OCCN1CCN(CC1)C(=O)OCCCC2CCc3ccccc3N2S(=O)(=O)c4ccc(Cl)cc4","6.167491087"
"CHEMBL2408092","CCOCCOc1cccc(\C=C\C(=O)c2ccc(OC)cc2O)c1","4.978810701"
"CHEMBL236192","OCCCN1CCN(CC1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c5ccc(Cl)cc5","7.494850022"
"CHEMBL236190","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)c(F)c2)C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5","7.346787486"
"CHEMBL2408097","COc1ccc(C(=O)\C=C\c2ccc(cc2)C(=O)O)c(O)c1","4.732828272"
"CHEMBL2436701","O=C1C=C(Oc2cc(OCCCCCN3CCN(CCCNc4c5CCCCc5nc6ccccc46)CC3)ccc12)c7ccccc7","4.879426069"
"CHEMBL2436702","O=C1C=C(Oc2cc(OCCCCCCN3CCN(CCCNc4c5CCCCc5nc6ccccc46)CC3)ccc12)c7ccccc7","4.869666232"
"CHEMBL3087676","Clc1cccc(Cl)c1Nc2ccccc2CC(=O)NCCCNCCCNC3=CC(=O)C(=CC3=O)NCCCNCCCNC(=O)Cc4ccccc4Nc5c(Cl)cccc5Cl","5.501689446"
"CHEMBL2436694","O=C1C=C(Oc2cc(OCCCN3CCN(CCNc4c5CCCCc5nc6ccccc46)CC3)ccc12)c7ccccc7","4.863279433"
"CHEMBL416955","COC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@@H](C1)OC(=O)\C=C\c2ccc(O)c(O)c2","4"
"CHEMBL205400","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O)C(=O)NCc4occc4","5.522878745"
"CHEMBL208230","CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O)C(=O)N","7.13076828"
"CHEMBL231248","Clc1ccc(cc1)S(=O)(=O)N2C(CCCOC(=O)N3CCC(CC3)N4CCCCC4)CCc5ccccc25","7.22184875"
"CHEMBL247728","COc1cc(\C=C\c2cc(cc(\C=C\c3ccc(O)c(OC)c3)n2)N(C)C)ccc1O","5.721246399"
"CHEMBL3286982","COc1cc(\C=C\2/Sc3nc(cn3C2=O)c4ccc(Cl)cc4)cc(OC)c1O","8.15490196"
"CHEMBL240055","Fc1cc(F)cc(c1)[C@@H]2CCC[C@@H](N2S(=O)(=O)c3ccc(Cl)cc3)C4(CC4)OC(=O)N5CCC(CC5)N6CCCCC6","9.522878745"
"CHEMBL393941","CC(C)(CO)N1CCN(CC1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c5ccc(Cl)cc5","7.920818754"
"CHEMBL392060","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CC5CCC(C4)N5CCO","8.455931956"
"CHEMBL196947","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(cc3)c4ccc(O)cc4","4.500312917"
"CHEMBL372846","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(c(F)c3)c4ccc(O)cc4","4.473660723"
"CHEMBL372846","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(c(F)c3)c4ccc(O)cc4","3.954677021"
"CHEMBL427877","CN(C)c1cc(\C=C\c2cccc(\C=C\c3ccc(O)c(c3)N(C)C)n2)ccc1O","5.638272164"
"CHEMBL400420","Clc1ccc(cc1)S(=O)(=O)N2[C@@H](CCC[C@@H]2C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5)C6CC6","8.552841969"
